name,cname,category,symbol,price,diff,chg,preclose,open,high,low,amplitude,volume,mktcap,pe,market,category_id
NVIDIA Corp.,英伟达公司,半导体,NVDA,205.10,-13.56,-6.20,218.66,214.53,214.87,204.33,4.82%,219655531,4967727247833,31.21765613,NASDAQ,12
"Apple, Inc.",苹果公司,计算机,AAPL,307.34,-3.89,-1.25,311.23,312.86,315.17,307.15,2.58%,65310417,4514011939253,37.02891437,NASDAQ,5
"Alphabet, Inc.",谷歌A类股,媒体内容,GOOGL,368.53,-3.66,-0.98,372.19,366.34,372.08,364.12,2.14%,37471188,4483535965149,27.81358481,NASDAQ,702
"Alphabet, Inc.",谷歌,互联网,GOOG,365.76,-3.51,-0.95,369.27,363.38,369.20,361.63,2.05%,23411519,4449836278809,27.60452904,NASDAQ,41
Microsoft Corp.,微软公司,软件,MSFT,416.67,-11.38,-2.66,428.05,428.34,429.47,414.40,3.52%,34782085,3096263201354,24.72819015,NASDAQ,14
"Amazon.com, Inc.",亚马逊公司,互联网,AMZN,246.03,-7.76,-3.06,253.79,254.25,256.38,245.78,4.18%,55607841,2646571344624,28.97879922,NASDAQ,41
"Taiwan Semiconductor Manufacturing Co., Ltd.",台湾积体电路制造公司,半导体,TSM,415.17,-29.75,-6.69,444.92,429.77,433.90,412.79,4.74%,19644058,2153787295426,34.51122383,NYSE,12
Broadcom Inc.,博通,半导体,AVGO,385.73,-33.18,-7.92,418.91,407.61,410.50,385.59,5.95%,51145976,1826303642261,62.31502543,NASDAQ,12
"Meta Platforms, Inc.","Meta Platforms, Inc.",,META,593.00,-34.57,-5.51,627.57,623.46,629.14,582.91,7.37%,30091583,1505285019272,21.22405113,NASDAQ,
"Tesla, Inc.",特斯拉,汽车制造,TSLA,391.00,-27.45,-6.56,418.45,420.50,424.68,388.59,8.62%,63420108,1468488033561,325.83332039,NASDAQ,155
Eli Lilly & Co.,礼来公司,生物技术和制药,LLY,1131.42,6.15,0.55,1125.27,1142.97,1166.29,1131.03,3.13%,4126157,1066975658651,40.66930469,NYSE,700
"Berkshire Hathaway, Inc.",伯克希尔-哈撒韦B,保险,BRK.B,488.13,9.50,1.98,478.63,480.99,491.00,479.35,2.43%,8475844,1052961127899,14.53200365,NYSE,25
"Berkshire Hathaway, Inc.",伯克希尔-哈撒韦,保险,BRK.A,733550.00,15130.00,2.11,718420.00,718250.00,736080.00,718250.00,2.48%,308,1052407945870,14.55752410,NYSE,25
"Micron Technology, Inc.",美光科技公司,半导体,MU,864.01,-131.99,-13.25,996.00,944.40,961.89,864.01,9.83%,77250518,974373508418,40.29897333,NASDAQ,12
"Walmart, Inc.",沃尔玛公司,零售,WMT,118.88,1.14,0.97,117.74,118.35,120.89,118.10,2.37%,36637984,946056428327,41.71228113,NYSE,52
JPMorgan Chase & Co.,摩根大通公司,,JPM,312.37,1.48,0.48,310.89,314.29,315.00,309.60,1.74%,9118739,837347318438,14.93878515,NYSE,695
"Advanced Micro Devices, Inc.",美国超微公司,半导体,AMD,466.38,-56.82,-10.86,523.20,499.52,505.62,463.95,7.96%,46900438,760479533512,151.42208326,NYSE,12
ASML Holding NV,阿斯麦公司,半导体,ASML,1641.74,-115.73,-6.59,1757.47,1685.36,1705.48,1638.38,3.82%,2744553,632755593573,54.68820670,NASDAQ,12
Exxon Mobil Corp.,埃克森美孚公司,,XOM,149.92,-2.12,-1.39,152.04,152.00,152.13,149.30,1.86%,16583832,621804246428,25.28161931,NYSE,710
Oracle Corp.,甲骨文公司,软件,ORCL,213.68,-22.66,-9.59,236.34,229.49,231.44,209.45,9.30%,29019781,613776967972,37.55360115,NYSE,14
"Visa, Inc.",维萨卡公司,,V,323.57,3.39,1.06,320.18,322.40,325.98,320.97,1.56%,7176189,582245978085,28.13652238,NYSE,726
Vanguard Total International Stock ETF,领航 国际股票 ETF,股权,VXUS,83.03,-3.22,-3.73,86.25,85.00,85.01,82.81,2.55%,9163478,562972315058,,NASDAQ,145
Johnson & Johnson,强生公司,制药,JNJ,232.77,4.60,2.02,228.17,230.00,235.22,229.00,2.72%,8034860,560400117962,26.63272430,NYSE,10
Intel Corp.,英特尔公司,半导体,INTC,99.17,-12.61,-11.28,111.78,106.48,106.48,98.33,7.29%,145209405,498428399888,-159.95160872,NASDAQ,12
"Cisco Systems, Inc.",思科系统公司,电信,CSCO,121.64,-8.36,-6.43,130.00,128.66,128.84,121.55,5.61%,33169324,479436110245,39.36569669,NASDAQ,30
"Mastercard, Inc.",万事达卡公司,商业服务,MA,491.08,9.32,1.93,481.76,484.00,494.00,484.00,2.08%,4230648,434007555895,28.36972858,NYSE,16
Costco Wholesale Corp.,开市客公司,,COST,971.87,-0.48,-0.05,972.35,977.50,997.41,971.60,2.65%,3091982,431037960677,48.81315935,NASDAQ,822
"Caterpillar, Inc.",卡特彼勒公司,,CAT,904.28,-36.20,-3.85,940.48,929.93,934.03,901.50,3.46%,2780465,416679130971,44.76633639,NYSE,774
"AbbVie, Inc.",艾伯维公司,生物技术和制药,ABBV,227.23,2.29,1.02,224.94,227.37,230.47,226.00,1.99%,6248876,401522330342,111.93596006,NYSE,700
Bank of America Corp.,美国银行公司,银行,BAC,53.83,-0.06,-0.11,53.89,54.17,54.28,53.32,1.78%,38829354,381938506671,13.16136915,NYSE,61
Lam Research Corp.,林氏研究公司,半导体,LRCX,303.28,-33.13,-9.85,336.41,320.37,323.42,302.74,6.15%,13308632,379273161042,57.00751673,NASDAQ,12
Chevron Corp.,雪佛龙公司,油气,CVX,187.31,-1.04,-0.55,188.35,189.06,189.61,186.59,1.60%,6310890,373105924184,32.40657280,NYSE,76
Arm Holdings Plc,Arm Holdings Plc,,ARM,342.93,-50.51,-12.84,393.44,369.75,373.74,337.55,9.20%,14885067,366276241344,403.44703889,NASDAQ,
"UnitedHealth Group, Inc.",美国联合健康集团,卫生保健设施,UNH,399.47,3.00,0.76,396.47,399.54,404.04,397.20,1.73%,10897117,362849085532,30.10323945,NYSE,692
"Applied Materials, Inc.",应用材料公司,半导体,AMAT,453.01,-48.69,-9.71,501.70,479.71,484.90,452.90,6.38%,11909362,359671569138,42.29785324,NASDAQ,12
"Netflix, Inc.",奈飞公司,,NFLX,82.18,0.62,0.76,81.56,82.33,82.75,81.00,2.15%,43474071,346043424316,26.00632850,NASDAQ,712
GE Aerospace,GE航空航天,多元化制造商,GE,328.00,0.35,0.11,327.65,326.90,332.49,322.53,3.04%,3951388,342329364893,40.09779802,NYSE,58
The Coca-Cola Co.,可口可乐公司,饮料,KO,79.48,2.66,3.46,76.82,77.51,80.74,77.48,4.24%,25707717,342004315275,24.99371122,NYSE,74
Procter & Gamble Co.,宝洁公司,,PG,146.54,5.76,4.09,140.78,142.22,148.23,141.80,4.57%,10963126,341232872741,20.99426832,NYSE,761
Morgan Stanley,摩根士丹利,,MS,211.93,-6.34,-2.90,218.27,218.32,218.32,211.16,3.28%,6170975,334447474729,18.97314156,NYSE,695
"Palantir Technologies, Inc.","Palantir Technologies, Inc.",,PLTR,135.53,-6.17,-4.35,141.70,140.32,141.97,134.03,5.61%,38283471,324907614910,141.17708522,NYSE,
HSBC Holdings Plc,汇丰控股公司,银行,HSBC,90.80,-1.82,-1.97,92.62,91.87,92.13,90.34,1.93%,2327904,312001995754,14.83660208,NYSE,61
"The Home Depot, Inc.",家得宝公司,零售,HD,310.78,0.83,0.27,309.95,310.83,314.05,308.62,1.75%,3946322,309893902430,22.02551427,NYSE,52
"The Goldman Sachs Group, Inc.",高盛集团,,GS,1038.68,-53.93,-4.94,1092.61,1092.82,1098.36,1035.60,5.74%,2643784,306558445212,18.68465643,NYSE,695
"Merck & Co., Inc.",默沙东集团,生物技术和制药,MRK,120.79,0.53,0.44,120.26,120.94,123.46,120.36,2.58%,15967106,298478287056,33.92977608,NYSE,700
Alibaba Group Holding Ltd.,阿里巴巴,,BABA,121.06,-4.89,-3.88,125.95,125.01,125.23,120.46,3.79%,12891289,290391180951,18.88611551,NYSE,
AstraZeneca PLC,阿斯利康公司,制药,AZN,185.95,4.15,2.28,181.80,184.02,186.12,184.02,1.16%,2345942,288376620443,27.75373168,NYSE,10
Novartis AG,诺华公司,生物技术和制药,NVS,149.16,0.76,0.51,148.40,147.65,149.16,147.44,1.16%,3570561,284324773223,21.12747944,NYSE,700
"Philip Morris International, Inc.",菲利普莫里斯国际公司,农业,PM,178.29,3.30,1.89,174.99,176.77,180.36,175.07,3.03%,4599256,277968979162,25.07594795,NYSE,159
Royal Bank of Canada,加拿大皇家银行,银行,RY,194.04,-0.93,-0.48,194.97,194.55,195.53,193.83,0.87%,1312444,269727978406,17.37153017,NYSE,61
International Business Machines Corp.,IBM(国际商业机器有限公司),,IBM,284.84,-16.93,-5.61,301.77,300.00,302.30,281.07,7.04%,12508831,267727159552,24.76869533,NYSE,750
Texas Instruments Incorporated,德州仪器公司,半导体,TXN,285.06,-20.31,-6.65,305.37,298.72,298.81,284.18,4.79%,11936956,259431036808,48.47959048,NASDAQ,12
"Dell Technologies, Inc.",戴尔,计算机硬件,DELL,394.39,-27.66,-6.55,422.05,405.77,412.90,386.27,6.31%,10990345,256280677503,52.65554429,NYSE,681
KLA Corp.,科磊公司,半导体,KLAC,1929.20,-201.90,-9.47,2131.10,2043.04,2054.96,1927.73,5.97%,1858607,252006595560,54.31306099,NASDAQ,12
"GE Vernova, Inc.","GE Vernova, Inc.",,GEV,933.61,-29.72,-3.09,963.33,947.29,953.00,921.46,3.27%,3053221,250903871949,26.85874656,NYSE,
Wells Fargo & Co.,富国银行,银行,WFC,81.94,0.32,0.39,81.62,82.15,82.45,81.45,1.23%,15109852,250828421161,12.49085414,NYSE,61
RTX Corp.,RTX Corp.,,RTX,180.99,1.58,0.88,179.41,179.17,182.53,178.01,2.52%,6272160,243843978352,33.51666709,NYSE,
Shell Plc,Shell Plc,,SHEL,85.40,-1.33,-1.53,86.73,86.60,86.79,85.33,1.68%,6272591,238081250641,13.17901254,NYSE,
Linde Plc,Linde Plc,媒体内容,LIN,507.90,0.45,0.09,507.45,512.29,517.62,507.02,2.09%,2886197,234826210656,33.52475292,NYSE,702
Sandisk Corp.,闪迪公司,计算机,SNDK,1559.32,-200.36,-11.39,1759.68,1678.88,1682.00,1514.36,9.53%,13288987,230919293219,51.14201240,NASDAQ,5
Toyota Motor Corp.,丰田汽车公司,汽车制造,TM,177.16,-2.34,-1.30,179.50,178.92,179.23,176.16,1.71%,750123,230886406966,9.05263191,NYSE,155
"Marvell Technology, Inc.",迈威尔科技,半导体,MRVL,263.47,-52.96,-16.74,316.43,299.50,300.72,261.39,12.43%,93976390,230483557068,89.31186338,NASDAQ,12
"QUALCOMM, Inc.",高通公司,半导体,QCOM,215.94,-26.63,-10.98,242.57,237.65,238.44,215.00,9.66%,24188986,227600762573,23.29449749,NASDAQ,12
"Citigroup, Inc.",花旗集团,银行,C,132.47,-2.68,-1.98,135.15,135.41,135.82,131.19,3.43%,12557844,225946317126,16.13520105,NYSE,61
"Mitsubishi UFJ Financial Group, Inc.","Mitsubishi UFJ Financial Group, Inc.",,MUFG,19.91,-0.14,-0.70,20.05,20.14,20.23,19.85,1.90%,3999461,224510475038,14.02112708,NYSE,
"Palo Alto Networks, Inc.","Palo Alto Networks, Inc.",电信,PANW,272.05,-7.20,-2.58,279.25,278.99,280.64,269.40,4.03%,7795280,221720740051,215.91269036,NYSE,30
SAP SE,SAP,软件,SAP,184.77,-2.37,-1.27,187.14,190.68,192.13,183.80,4.45%,3822304,215706533933,24.80134349,NYSE,14
American Express Co.,美国运通公司,多元化金融服务,AXP,310.66,-1.87,-0.60,312.53,313.92,314.50,308.31,1.98%,2445713,211964705043,19.35576439,NYSE,56
BHP Group Ltd.,必和必拓,,BHP,82.72,-6.06,-6.83,88.78,86.45,86.62,82.49,4.65%,4947650,209841519728,,NYSE,747
McDonald's Corp.,麦当劳公司,零售,MCD,279.84,7.12,2.61,272.72,274.40,280.76,274.40,2.33%,5428103,198813768660,22.97536858,NYSE,52
TotalEnergies SE,TotalEnergies SE,,TTE,88.71,-1.46,-1.62,90.17,89.84,89.89,88.27,1.80%,1003718,197169594152,12.67285701,NYSE,
"Analog Devices, Inc.",亚德诺半导体,半导体,ADI,401.39,-27.37,-6.38,428.76,419.49,419.64,401.26,4.29%,7242507,195511874121,59.28951489,NASDAQ,12
"Arista Networks, Inc.","Arista Networks, Inc.",计算机硬件,ANET,154.27,-11.74,-7.07,166.01,159.46,161.19,152.19,5.42%,9094599,194206792185,52.11824401,NYSE,681
"PepsiCo, Inc.",百事可乐公司,饮料,PEP,141.92,1.25,0.89,140.67,141.56,144.34,141.21,2.23%,13228232,193971756762,22.24451342,NYSE,74
"T-Mobile US, Inc.","T-Mobile US, Inc.",,TMUS,178.10,1.08,0.61,177.02,179.72,181.18,177.12,2.29%,6340510,192740676142,18.90658224,NYSE,697
Shell Plc,荷兰皇家壳牌石油公司,,RDS.A,51.04,0.00,0.00,51.04,0.00,0.00,0.00,1.75%,0,192700601317,43.25423999,NYSE,710
Novo Nordisk A/S,诺和诺德公司,制药,NVO,42.96,-0.79,-1.81,43.75,44.05,44.22,42.85,3.12%,10855389,190302147576,10.08450629,NYSE,10
Seagate Technology Holdings Plc,希捷科技公司,计算机硬件,STX,847.47,-78.52,-8.48,925.99,889.18,910.66,843.63,7.24%,3611290,190027335586,76.97274778,NASDAQ,681
"Verizon Communications, Inc.",威讯通信公司,,VZ,45.37,0.50,1.11,44.87,45.24,46.10,45.00,2.46%,23121422,189528619826,11.03892882,NYSE,697
"Amgen, Inc.",安进公司,生物技术,AMGN,349.58,3.98,1.15,345.60,348.76,356.50,347.66,2.56%,3451236,188671210828,24.14226503,NASDAQ,39
Applovin Corp.,Applovin Corp.,服饰,APP,557.20,-1.67,-0.30,558.87,577.91,595.00,548.78,8.27%,5547042,187185799404,48.83435755,NYSE,148
The Toronto-Dominion Bank,道明银行,银行,TD,113.16,-0.59,-0.52,113.75,113.84,114.31,112.80,1.32%,1737393,186921304849,18.37013092,NYSE,61
"NextEra Energy, Inc.",新纪元能源公司,电力,NEE,85.84,0.78,0.92,85.06,85.08,86.10,84.61,1.75%,11843161,179049216716,21.73164438,NYSE,21
"The TJX Cos., Inc.",TJX公司,零售,TJX,160.71,2.08,1.31,158.63,159.29,161.78,158.65,1.97%,4866929,177514960125,30.78735885,NYSE,52
Western Digital Corp.,西部数据公司,计算机硬件,WDC,511.72,-63.63,-11.06,575.35,545.25,554.15,511.33,7.44%,9009185,176380740496,27.42336578,NASDAQ,681
"Thermo Fisher Scientific, Inc.",赛默飞世尔科技公司,,TMO,472.80,-9.23,-1.91,482.03,484.22,486.79,469.62,3.56%,1728052,175663609702,25.96375681,NYSE,738
Banco Santander SA,桑坦德银行,银行,SAN,12.15,-0.32,-2.57,12.47,12.40,12.42,12.09,2.65%,8227973,174892121294,9.56692898,NYSE,61
The Walt Disney Co.,沃特迪士尼公司,媒体内容,DIS,99.71,0.37,0.37,99.34,99.68,100.20,99.09,1.12%,9501359,173199645720,15.90271123,NYSE,702
"CrowdStrike Holdings, Inc.",CrowdStrike,,CRWD,671.02,-48.07,-6.68,719.09,696.74,706.22,670.10,5.02%,5238807,170799101293,-3727.88884926,NASDAQ,
Amphenol Corp.,安费诺集团,电子,APH,138.81,-7.96,-5.42,146.77,143.25,144.97,138.20,4.61%,7168119,170744230362,38.03013532,NYSE,49
The Boeing Co.,波音公司,航空航天/国防,BA,215.45,-1.97,-0.91,217.42,216.58,218.37,213.63,2.18%,4804004,169863378175,98.37899147,NYSE,60
Vanguard Small-Cap ETF,小型股指数ETF-Vanguard MSCI,股权,VB,288.20,-7.20,-2.44,295.40,293.00,293.64,287.04,2.23%,560012,164612103990,,NYSE,145
Rio Tinto Plc,力拓公司,采矿,RIO,100.69,-4.71,-4.47,105.40,103.26,103.62,100.39,3.07%,3559511,163721943970,,NYSE,2
Union Pacific Corp.,联合太平洋公司,运输,UNP,272.32,8.42,3.19,263.90,264.49,274.13,264.49,3.65%,2783929,161700768649,22.39473773,NASDAQ,34
"Gilead Sciences, Inc.",吉利德科学公司,生物技术和制药,GILD,129.16,-0.02,-0.02,129.18,130.09,131.66,128.92,2.12%,15369328,160361160044,17.40700840,NASDAQ,700
Abbott Laboratories,雅培公司,,ABT,91.07,0.29,0.32,90.78,91.75,92.73,90.95,1.96%,11933657,158644333233,25.29722281,NYSE,738
"AT&T, Inc.",美国电话电报公司,电信,T,22.75,-0.02,-0.09,22.77,22.90,23.04,22.59,1.98%,60825794,158178936145,7.63422814,NYSE,30
Deere & Co.,迪尔股份有限公司,机械-多元,DE,583.44,-8.31,-1.40,591.75,590.66,597.82,579.22,3.14%,1751381,157735242174,32.98134454,NYSE,134
"BlackRock, Inc.",贝莱德集团,,BLK,995.60,-21.23,-2.09,1016.83,1011.95,1011.95,991.18,2.04%,724082,154515565548,24.68021745,NYSE,708
The Charles Schwab Corp.,嘉信理财公司,多元化金融服务,SCHW,88.84,0.84,0.95,88.00,88.46,88.94,87.67,1.44%,9213863,154435238773,17.55731173,NYSE,56
UBS Group AG,瑞士银行,,UBS,47.01,-0.66,-1.38,47.67,47.51,47.67,46.76,1.91%,3041698,154056842520,16.15463812,NYSE,695
Eaton Corp. Plc,伊顿公司,,ETN,395.94,-22.67,-5.42,418.61,408.55,410.61,393.17,4.17%,2537928,153745446344,38.59064265,NYSE,714
Anheuser-Busch InBev NV,百威英博公司,饮料,BUD,78.50,0.58,0.74,77.92,78.58,78.69,77.58,1.43%,2200315,153114540799,23.43283649,NYSE,74
"Corning, Inc.",康宁公司,计算机硬件,GLW,177.58,-20.12,-10.18,197.70,189.38,190.11,174.30,8.00%,15676278,152840663750,83.76415633,NYSE,681
"Salesforce, Inc.",赛富时公司,软件,CRM,185.66,-3.09,-1.64,188.75,189.80,192.51,184.83,4.07%,13183808,152063728500,21.38940059,NYSE,14
"Intuitive Surgical, Inc.",直觉外科公司,医疗保健产品,ISRG,422.06,3.24,0.77,418.82,420.00,428.46,419.50,2.14%,2775553,149477976249,50.42532895,NASDAQ,63
Pfizer Inc.,辉瑞制药公司,制药,PFE,26.04,0.35,1.36,25.69,25.85,26.21,25.79,1.63%,32218363,148385028383,19.87786416,NYSE,10
"Sumitomo Mitsui Financial Group, Inc.",三井住友金融集团,银行,SMFG,23.16,-0.42,-1.78,23.58,23.47,23.55,23.09,1.95%,1614747,147289555837,14.03636375,NYSE,61
"Welltower, Inc.","Welltower, Inc.",,WELL,206.93,6.08,3.03,200.85,200.88,210.41,200.00,5.18%,3176714,146088292925,-363.03507943,NYSE,
Southern Copper Corp.,美国南方铜业公司,,SCCO,172.97,-21.12,-10.88,194.09,186.87,187.06,172.30,7.60%,1920776,144313294169,29.31694889,NYSE,717
"Uber Technologies, Inc.",优步科技有限公司,,UBER,70.71,-1.50,-2.08,72.21,71.84,72.53,70.31,3.07%,18532265,143967737371,17.24634164,NYSE,
ConocoPhillips,康菲石油公司,油气,COP,117.14,-2.09,-1.75,119.23,119.50,119.77,116.99,2.33%,5989809,142710967670,19.88794602,NYSE,76
"Shopify, Inc.","Shopify, Inc.",,SHOP,109.54,-6.50,-5.60,116.04,114.50,115.90,108.29,6.56%,8104559,142145098231,107.39215977,NYSE,
"Honeywell International, Inc.",霍尼韦尔国际公司,电子,HON,213.97,-3.67,-1.69,217.64,218.87,218.99,213.00,2.75%,4925535,135582758860,30.17912505,NYSE,49
"Prologis, Inc.","Prologis, Inc.",房地产信托投资基金,PLD,144.54,0.75,0.52,143.79,142.57,145.72,142.55,2.20%,5442503,134765567809,36.22556214,NYSE,227
Vanguard Extended Market Index Fund,领航 扩展市场 ETF,股权,VXF,231.90,-7.97,-3.32,239.87,237.52,237.57,230.89,2.79%,810116,133343596633,,NYSE,145
Danaher Corp.,丹纳赫公司,,DHR,184.30,-2.34,-1.25,186.64,188.00,188.75,183.79,2.66%,3305175,130484593226,35.44230958,NYSE,738
British American Tobacco plc,英美烟草公司,农业,BTI,59.72,1.87,3.23,57.85,58.25,60.38,58.25,3.68%,5043863,129500477137,,NYSE,159
Sony Group Corp.,Sony Group Corp.,,SONY,21.89,-0.34,-1.53,22.23,22.19,22.27,21.86,1.82%,4884401,129304223724,-66.33332885,NYSE,
"Booking Holdings, Inc.",缤客,,BKNG,165.84,-1.23,-0.74,167.07,167.54,171.92,164.89,4.21%,7810311,128505841135,21.67843062,NASDAQ,
Chubb Ltd.,安达保险公司,保险,CB,326.27,11.77,3.74,314.50,317.59,328.60,316.31,3.91%,1910747,126589783290,11.44405424,NYSE,25
"S&P Global, Inc.",标普全球,,SPGI,424.44,4.32,1.03,420.12,422.88,427.24,420.55,1.59%,2259742,125687518555,26.82933063,NYSE,
Banco Bilbao Vizcaya Argentaria SA,Banco Bilbao Vizcaya Argentaria SA,银行,BBVA,22.22,-0.61,-2.67,22.83,22.67,22.67,22.09,2.56%,2052658,125159425711,10.14611814,NYSE,61
Unilever Plc,联合利华PLC,食品,UL,56.72,1.67,3.03,55.05,56.04,56.98,55.92,1.93%,5839916,123595719823,,NYSE,18
"Enbridge, Inc.",安桥公司,,ENB,56.31,-0.43,-0.76,56.74,56.85,57.05,56.30,1.32%,2637037,122953027707,26.19069715,NYSE,710
CVS Health Corp.,西维斯健康,,CVS,95.93,1.11,1.17,94.82,94.97,96.63,94.97,1.75%,9704645,122386944663,41.70869665,NYSE,822
iPath Series B Bloomberg Energy Subindex Total Return ETN,iPath Series B Bloomberg Energy Subindex Total Return ETN,,JJEB,51.74,0.00,0.00,51.74,0.00,0.00,0.00,3.54%,0,121175090554,,AMEX,
"PDD Holdings, Inc.",拼多多公司,,PDD,85.07,-0.81,-0.94,85.88,85.17,86.60,84.97,1.90%,7418527,121088327656,8.74306307,NASDAQ,
Lockheed Martin Corp.,洛克希德马丁公司,,LMT,523.76,4.71,0.91,519.05,520.00,528.01,519.95,1.55%,902740,120796876324,25.25361695,NYSE,785
"Altria Group, Inc.",奥驰亚集团公司,农业,MO,72.19,1.59,2.25,70.60,71.27,73.18,71.15,2.88%,8059430,120574499464,15.07098184,NYSE,159
HDFC Bank Ltd.,HDFC银行,银行,HDB,23.41,-0.62,-2.58,24.03,23.85,23.86,23.34,2.16%,9124636,119374666464,13.93452415,NYSE,61
Progressive Corp.,美国前进保险公司,保险,PGR,204.02,8.64,4.42,195.38,198.28,204.51,197.00,3.84%,2746332,119245563426,10.34584236,NYSE,25
"Lowe's Companies, Inc.",劳氏公司,零售,LOW,210.74,3.21,1.55,207.53,208.00,211.86,207.44,2.13%,2423688,118214912497,17.78396614,NYSE,52
Stryker Corp.,史赛克公司,医疗保健产品,SYK,305.66,4.45,1.48,301.21,305.61,311.00,303.76,2.40%,2123047,117180727681,35.05275164,NYSE,63
Bristol Myers Squibb Co.,百时美施贵宝公司,制药,BMY,57.27,0.67,1.18,56.60,57.03,57.81,56.79,1.81%,9575903,116969832636,14.28179481,NYSE,10
"Anthem, Inc.","Anthem, Inc.",,ANTM,482.58,0.00,0.00,482.58,0.00,0.00,0.00,4.14%,0,116342689895,18.77012850,NYSE,
"ServiceNow, Inc.",现在服务公司,软件,NOW,112.45,-6.91,-5.79,119.36,119.19,121.20,111.56,8.07%,31452022,115991222479,66.53845748,NYSE,14
"Mizuho Financial Group, Inc.",瑞穗金融集团,银行,MFG,9.52,-0.27,-2.76,9.79,9.70,9.76,9.48,2.86%,4845731,115890820125,14.20895555,NYSE,61
Vertiv Holdings Co.,Vertiv Holdings Co.,,VRT,300.51,-23.41,-7.23,323.92,313.75,315.00,294.39,6.36%,7330000,115409331874,73.65441554,NYSE,
Bank of Montreal,蒙特利尔银行,银行,BMO,164.37,-0.84,-0.51,165.21,164.32,165.80,164.14,1.00%,602995,115134487580,17.35691557,NYSE,61
Petr贸leo Brasileiro SA,巴西石油公司,油气,PBR,17.75,-0.31,-1.72,18.06,17.93,18.06,17.69,2.05%,13361742,114316558525,5.78175908,NYSE,76
"Vertex Pharmaceuticals, Inc.",福泰制药,生物技术,VRTX,446.83,5.09,1.15,441.74,445.61,453.16,443.86,2.11%,1530180,113407871070,26.26866435,NASDAQ,39
BP Plc,英国石油公司,,BP,42.97,-1.07,-2.43,44.04,43.83,43.95,42.94,2.30%,6845232,112508420833,34.93495980,NYSE,710
Capital One Financial Corp.,第一资本金融公司,,COF,180.67,-2.53,-1.38,183.20,183.93,184.51,179.32,2.84%,6083889,112460752503,63.39298393,NYSE,726
iPath Series B Bloomberg Livestock Subindex Total Return ETN,iPath Series B Bloomberg Livestock Subindex Total Return ETN,,COWB,47.92,0.00,0.00,47.92,0.00,0.00,0.00,0.00%,0,112228641845,,AMEX,
iPath Series B Bloomberg Tin Subindex Total Return ETN,iPath Series B Bloomberg Tin Subindex Total Return ETN,,JJTB,47.88,0.00,0.00,47.88,0.00,0.00,0.00,0.00%,0,112134968630,,AMEX,
iPath Series B Bloomberg Cotton Subindex Total Return ETN,iPath Series B Bloomberg Cotton Subindex Total Return ETN,,BALB,47.71,0.00,0.00,47.71,0.00,0.00,0.00,0.67%,0,111736823963,,AMEX,
Parker-Hannifin Corp.,派克汉尼汾,,PH,882.34,10.11,1.16,872.23,874.79,898.98,871.94,3.10%,1015684,111273762483,32.08509189,NYSE,774
iPath Series B Bloomberg Grains Subindex Total Return ETN,iPath Series B Bloomberg Grains Subindex Total Return ETN,,JJGB,47.46,0.00,0.00,47.46,0.00,0.00,0.00,0.11%,0,111151323931,,AMEX,
Accenture Plc,埃森哲公司,,ACN,178.25,-0.61,-0.34,178.86,180.91,183.18,176.33,3.83%,3745518,109476201874,14.46834451,NYSE,750
Starbucks Corp.,星巴克公司,零售,SBUX,95.29,1.15,1.22,94.14,94.29,95.99,93.64,2.50%,7623210,108602011375,72.74046189,NASDAQ,52
Sanofi,赛诺菲-安万特公司,制药,SNY,45.02,0.64,1.44,44.38,45.00,45.24,44.83,0.92%,2603569,107777881096,24.33513507,NYSE,10
iPath Series B Bloomberg Agriculture Subindex Total Return ETN,iPath Series B Bloomberg Agriculture Subindex Total Return ETN,,JJAB,45.88,0.00,0.00,45.88,0.00,0.00,0.00,0.00%,0,107450968374,,AMEX,
iPath Series B Bloomberg Nickel Subindex Total Return ETN,iPath Series B Bloomberg Nickel Subindex Total Return ETN,,BJJN,45.81,0.00,0.00,45.81,0.00,0.00,0.00,0.00%,0,107287029080,,AMEX,
iShares Core MSCI EAFE ETF,iShares 核心MSCI欧澳远东 ETF,股权,IEFA,95.56,-2.55,-2.60,98.11,97.36,97.44,95.32,2.16%,8534052,107025389619,,NASDAQ,145
Vanguard Total International Bond Index Fund,Vanguard国际全债市指数ETF,股权,BNDX,48.01,-0.07,-0.15,48.08,48.01,48.05,47.98,0.15%,3847943,106991307281,,NASDAQ,145
"Equinix, Inc.",易昆尼克斯公司,互联网,EQIX,1080.95,-8.20,-0.75,1089.15,1079.42,1093.00,1076.80,1.49%,524823,106607876060,74.59972176,NASDAQ,41
iPath Series B Bloomberg Aluminum Subindex Total Return ETN,iPath Series B Bloomberg Aluminum Subindex Total Return ETN,,JJUB,45.46,0.00,0.00,45.46,0.00,0.00,0.00,0.00%,0,106467323675,,AMEX,
Newmont Corp.,纽曼矿业,,NEM,99.71,-8.62,-7.96,108.33,104.89,105.48,99.65,5.38%,9875451,106445685121,12.89909429,NYSE,717
"Fortinet, Inc.",飞塔信息公司,计算机硬件,FTNT,144.68,-4.99,-3.33,149.67,148.46,149.05,143.46,3.74%,7122537,105999554729,55.43294961,NASDAQ,681
Medtronic Plc,美敦力公司,,MDT,81.67,-0.26,-0.32,81.93,82.10,82.68,81.11,1.92%,15286692,104829209188,21.77866618,NYSE,738
